PC1,PC2,ID,Label
-0.11591889977788435,0.027168815025526857,1,sport
-0.08118772083475866,-0.023987088684594645,2,sport
-0.048055600104335155,-0.08653469425815648,3,sport
-0.0968882445123458,-0.050633162075814524,4,sport
-0.10831609250412985,0.026146260052457026,5,sport
-0.06271261157198912,-0.036380987057087505,6,sport
-0.08316003759553871,0.0296712752564792,7,sport
-0.0676771168266057,0.009705964110143355,8,sport
-0.08483126581931404,0.013563321478595639,9,sport
-0.08033449648349812,-0.01072551877592679,10,sport
-0.05366447416423493,-0.037132997876113114,11,sport
-0.07361680994769135,0.04283592951461981,12,sport
-0.21287042209094392,0.21202737588425674,13,sport
-0.08762787102272765,0.03177425479234003,14,sport
-0.07432858654136483,0.03307097967497416,15,sport
-0.06760274981842622,0.014964613378216727,16,sport
-0.12526285562711034,0.06894279297246989,17,sport
-0.12688036083727547,0.07541188709719823,18,sport
-0.10334516688715649,0.03803747407837607,19,sport
-0.08918773010897711,0.02627929486613361,20,sport
-0.10473293099040182,0.03315027440105537,21,sport
-0.15932966109837818,0.1528930666034138,22,sport
-0.11684144961826028,0.11202417133015007,23,sport
-0.10865126271537581,0.0423479409581388,24,sport
-0.07659916854335301,0.01429584142090041,25,sport
-0.11481118944845276,0.07594111993105726,26,sport
-0.11842407247119949,0.07870905804482721,27,sport
-0.1265145945797488,0.041920454009460636,28,sport
-0.11772772701881624,0.07319530644680633,29,sport
-0.08124053820361919,0.03056931847428816,30,sport
-0.08430017223933288,-0.023386341255420676,31,sport
-0.06600988409825201,0.008068149122452316,32,sport
-0.13133120953137478,0.053199204294785314,33,sport
-0.10505178116327002,0.050324478111118676,34,sport
-0.11862026673521572,0.053299649219280716,35,sport
-0.11715469758325822,0.09331809030397858,36,sport
-0.09378335982779869,0.014312442107625835,37,sport
-0.09392610791447054,0.05281737848714258,38,sport
-0.11504326529102049,0.05353009198308896,39,sport
-0.13241658529688258,0.0787699423419806,40,sport
-0.16654668777095888,0.1646414260256196,41,sport
-0.10067574727399735,0.10219030161042393,42,sport
-0.16240065794360914,0.20051330563284134,43,sport
-0.14412879148139396,0.14593885054226605,44,sport
-0.1346459826843283,0.16430968755163508,45,sport
-0.1278425766245597,0.14271246848505678,46,sport
-0.17529207868025015,0.18465455831732547,47,sport
-0.1845833267039155,0.21321263027978382,48,sport
-0.11097856911018394,0.10125875322479168,49,sport
-0.14574094747113595,0.17953933956567836,50,sport
-0.18106655346450845,0.1922751264767481,51,sport
-0.12861970806537443,0.13501772765331532,52,sport
-0.16238963839044115,0.16410751786199929,53,sport
-0.1698011108886708,0.22711322359146371,54,sport
-0.17217536207500966,0.19054002233289924,55,sport
-0.15636869555934269,0.15792452252995548,56,sport
-0.148748857194699,0.15046864073495833,57,sport
-0.17659524189165077,0.2237978911988281,58,sport
-0.16191553597596514,0.1981069637286561,59,sport
-0.20342973897633057,0.2628538918517096,60,sport
-0.19878610336967997,0.23529882481359218,61,sport
-0.13201362340649284,0.14027036171928386,62,sport
-0.164095116794635,0.19313818015151182,63,sport
-0.17356283034404746,0.1965165279685837,64,sport
-0.12563417815616984,0.128185267703716,65,sport
-0.1634344883962129,0.21041608547875582,66,sport
-0.16672035997985485,0.19755763206706445,67,sport
-0.15815366796263572,0.14694974849211767,68,sport
-0.16020476037236575,0.1754238310577509,69,sport
-0.11749705707155089,0.10266189042327062,70,sport
-0.15954829097123355,0.13374304548673396,71,sport
-0.09813470758418194,0.054429322781021604,72,sport
-0.16472059348192544,0.1551730717310923,73,sport
-0.0902696760268647,0.056688744333685995,74,sport
-0.057016375166828406,-0.013067382099234555,75,sport
-0.16008985984319044,0.16373293936811129,76,sport
-0.15626934137303558,0.16005629339481606,77,sport
-0.09399327780796095,0.12886261332147939,78,sport
-0.08833059366098871,0.0503446366969447,79,sport
-0.10119481369972258,0.11296658486367915,80,sport
-0.11109445238627222,0.060552856496166,81,sport
-0.1638727331903191,0.14400193179436488,82,sport
-0.16078038672918904,0.15389458668798084,83,sport
-0.15868854268871033,0.15264332987649654,84,sport
-0.18845693629522337,0.20651744255791366,85,sport
-0.18746545408614534,0.19733565606357367,86,sport
